LABEL_Ranna,LABEL_Nada,LABEL_Ziyad ,LABEL_Fidan,LABEL_Mahmood,AD_TEXT
negative,Positive,negative,Positive,Positive,"Do you seriously believe God will judge someone for loving a person of same sex, but will not judge you for hating someone you have never met? A Kentucky clerk who defied a federal judge's order to issue marriage licenses and turned away four gay couples has until Monday to convince the judge to delay his mandate. U.S. District Judge David L. Bunning rejected Rowan County Clerk Kim Davis' claim that her Christian faith should exempt her from issuing marriage licenses to same-sex couples and ordered her on Wednesday to hand out the licenses. But her office kept denying them. Interesting what would happen if I walked up to my boss and said I refuse to the job I am being paid for today? Let me think... guess I would stand in the unemployment line! Her job is not to participate in gay weddings!! All she has to do is confirm that the paperwork is correct! She should be fired, fined and charged with contempt of court!"
positive,Positive,positive,Positive,Positive,Probably you remember Virginia McLaurin who visited the Obamas at the White House last year. She was 106-year-old at that moment. Later she celebrated her 107th birthday with the Harlem Globetrotters basketball team. It seems that Virginia and the team became friends because they celebrated her 108th birthday together! Virginia McLaurin celebrates 108th birthday with Harlem Globet...
positive,Positive,positive,Positive,Positive,"If u love to be woke and u wanna improve ur knowledge of self, join our community! We post love everything hotep! Nefertiti's Community"
positive,Positive,positive,Positive,Positive,"The second self-defense class Join the event, bring your friends, feel safe with us!!! Self-defense classes with"
positive,Negative,negative,Positive,Positive,Black community dedicated to black-owned businesses Black4Black
positive,Negative,negative,Negative,Negative,"Christmas is coming !We're sure that you won't be able to find a better present than a gun! Don't believe us? Just try once and you'll understand what we're talking about! Gun power, self-confidence, freedom! Tea Party News( @tea Teapartypat"
positive,Positive,positive,Positive,Positive,The war is most horrible thing: We offer a shelter!
positive,Positive,positive,Positive,Positive,"Houstonians, come out to honor the memory of Huey P. Newton, and other black leaders and prominent members of the Black Panther Party on October 15! We should revive their legacy and discuss the plan that Newton and Seale crafted to empower Black communities economically. The plan contained basic demands such as self-determination, decent housing, full employment, education that included African-American history, and an end to police brutality. The list of confirmed speakers will be released a few days before the event. Share and invite your friends! Black Panther Party 50th Anniversary H-Town"
neutral,Neutral,neutral,Neutral,Neutral,repost @[857553657667666:274:Chakabars]
positive,Neutral,positive,Neutral,Negative,When your melanin pops severely.
negative,Positive,negative,Positive,Negative,Videoblog about racism and black social issues!
negative,Positive,negative,Negative,Negative,"Middle East wars are one of the reasons why we are in $20 trillion debt today. We could have solved thousands of economic and security problems by simply rejecting the aggressive military policy we've been having for so long. Iraq war didn't end terrorism, and didn't solve the Islamization problem. If we repeat the same war in Syria, we'll only get the same result: no profit for American citizens and several thousands of dead American soldiers. Globalists, terrorists and Corporations are the only ones who benefit from oil wars."
positive,Positive,positive,Positive,Neutral,Community of people who support our brave heroes.
